bea_code,column_index
00001_1111A0,1
00002_1111B0,2
00003_111200,3
00004_111300,4
00005_111400,5
00006_111900,6
00007_1121A0,7
00008_112120,8
00009_112A00,9
00010_112300,10
00011_113000,11
00012_114000,12
00013_115000,13
00014_211000,14
00015_212100,15
00016_2122A0,16
00017_212230,17
00018_212310,18
00019_2123A0,19
00020_213111,20
00021_21311A,21
00022_221100,22
00023_221200,23
00024_221300,24
00025_233210,25
00026_233262,26
00027_2332A0,27
00028_233240,28
00029_2332C0,29
00030_233230,30
00031_2332D0,31
00032_233411,32
00033_233412,33
00034_2334A0,34
00035_230301,35
00036_230302,36
00037_321100,37
00038_321200,38
00039_321910,39
00040_3219A0,40
00041_327100,41
00042_327200,42
00043_327310,43
00044_327320,44
00045_327330,45
00046_327390,46
00047_327400,47
00048_327910,48
00049_327991,49
00050_327992,50
00051_327993,51
00052_327999,52
00053_331110,53
00054_331200,54
00055_331313,55
00056_331314,56
00057_33131B,57
00058_331410,58
00059_331420,59
00060_331490,60
00061_331510,61
00062_331520,62
00063_33211A,63
00064_332114,64
00065_332119,65
00066_332200,66
00067_332310,67
00068_332320,68
00069_332410,69
00070_332420,70
00071_332430,71
00072_332500,72
00073_332600,73
00074_332710,74
00075_332720,75
00076_332800,76
00077_33291A,77
00078_332913,78
00079_332991,79
00080_33299A,80
00081_332996,81
00082_332999,82
00083_333111,83
00084_333112,84
00085_333120,85
00086_333130,86
00087_333242,87
00088_33329A,88
00089_333314,89
00090_333316,90
00091_333318,91
00092_333413,92
00093_333414,93
00094_333415,94
00095_333511,95
00096_333517,96
00097_333514,97
00098_33351B,98
00099_333611,99
00100_333612,100
00101_333613,101
00102_333618,102
00103_33391A,103
00104_333912,104
00105_333920,105
00106_333991,106
00107_33399A,107
00108_333993,108
00109_333994,109
00110_33399B,110
00111_334111,111
00112_334112,112
00113_334118,113
00114_334210,114
00115_334220,115
00116_334290,116
00117_334413,117
00118_334418,118
00119_33441A,119
00120_334510,120
00121_334511,121
00122_334512,122
00123_334513,123
00124_334514,124
00125_334515,125
00126_334516,126
00127_334517,127
00128_33451A,128
00129_334300,129
00130_334610,130
00131_335110,131
00132_335120,132
00133_335210,133
00134_335221,134
00135_335222,135
00136_335224,136
00137_335228,137
00138_335311,138
00139_335312,139
00140_335313,140
00141_335314,141
00142_335911,142
00143_335912,143
00144_335920,144
