seq_rows,seq_cols,coeffs
1,1,1.0
2,1,1.0
3,2,1.0
4,2,1.0
5,2,1.0
6,2,1.0
7,2,1.0
8,2,1.0
9,3,1.0
10,3,1.0
11,4,1.0
12,4,1.0
13,4,1.0
14,4,1.0
15,4,1.0
16,4,1.0
17,4,1.0
18,4,1.0
19,4,1.0
20,5,1.0
21,5,1.0
22,5,1.0
23,5,1.0
24,6,1.0
25,6,1.0
26,6,1.0
27,6,1.0
28,6,1.0
29,6,1.0
30,6,1.0
31,7,1.0
32,7,1.0
33,8,1.0
34,6,1.0
35,9,1.0
36,10,1.0
37,10,1.0
38,10,1.0
39,10,1.0
40,10,1.0
41,9,1.0
42,9,1.0
43,9,1.0
44,9,1.0
45,9,1.0
46,9,1.0
47,9,1.0
48,9,1.0
49,9,1.0
50,11,1.0
51,11,1.0
52,11,1.0
53,12,1.0
54,12,1.0
55,12,1.0
56,12,1.0
57,13,1.0
58,13,1.0
59,13,1.0
60,13,1.0
61,13,1.0
62,13,1.0
63,13,1.0
64,13,1.0
65,14,1.0
66,14,1.0
67,14,1.0
68,14,1.0
69,15,1.0
70,15,1.0
71,15,1.0
72,16,1.0
73,16,1.0
74,16,1.0
75,17,1.0
76,17,1.0
77,16,1.0
78,16,1.0
79,16,1.0
80,18,1.0
81,18,1.0
82,18,1.0
83,18,1.0
84,19,1.0
85,19,1.0
86,19,1.0
87,19,1.0
88,19,1.0
89,19,1.0
90,19,1.0
91,19,1.0
92,20,1.0
93,21,1.0
94,21,1.0
95,21,1.0
96,21,1.0
97,22,1.0
98,22,1.0
99,22,1.0
100,22,1.0
101,22,1.0
102,22,1.0
103,22,1.0
104,22,1.0
105,22,1.0
106,22,1.0
107,22,1.0
108,23,1.0
109,24,1.0
110,24,1.0
111,24,1.0
112,32,1.0
113,33,1.0
114,32,0.33015371861030235
114,33,0.0688569024446546
114,34,0.41942121579928465
114,36,0.1815681631457584
115,36,1.0
116,30,1.0
117,27,1.0
118,31,1.0
119,31,1.0
120,28,1.0
121,25,0.03958840140127432
121,26,0.06996507107590007
121,27,0.07019409913912897
121,28,0.09741927404108437
121,29,0.10468126498975808
121,30,0.04187439311852159
121,31,0.08038027236326081
121,32,0.11409543350637676
121,33,0.02379575843458032
121,34,0.1449447416186022
121,35,0.15031446325086037
121,36,0.06274682706065213
122,29,1.0
123,31,1.0
124,25,0.03958840140127432
124,26,0.06996507107590007
124,27,0.07019409913912897
124,28,0.09741927404108437
124,29,0.10468126498975808
124,30,0.04187439311852159
124,31,0.08038027236326081
124,32,0.11409543350637676
124,33,0.02379575843458032
124,34,0.1449447416186022
124,35,0.15031446325086037
124,36,0.06274682706065213
125,32,0.33015371861030235
125,33,0.0688569024446546
125,34,0.41942121579928465
125,36,0.1815681631457584
126,25,0.06049412976772047
126,26,0.10691202319518375
126,27,0.1072619957347916
126,28,0.14886416215656487
126,29,0.15996104425514177
126,30,0.0639873013709224
126,31,0.12282725381660128
126,35,0.22969208970307387
127,25,0.03958840140127432
127,26,0.06996507107590007
127,27,0.07019409913912897
127,28,0.09741927404108437
127,29,0.10468126498975808
127,30,0.04187439311852159
127,31,0.08038027236326081
127,32,0.11409543350637676
127,33,0.02379575843458032
127,34,0.1449447416186022
127,35,0.15031446325086037
127,36,0.06274682706065213
128,32,0.33015371861030235
128,33,0.0688569024446546
128,34,0.41942121579928465
128,36,0.1815681631457584
129,25,0.06049412976772047
129,26,0.10691202319518375
129,27,0.1072619957347916
129,28,0.14886416215656487
129,29,0.15996104425514177
129,30,0.0639873013709224
129,31,0.12282725381660128
129,35,0.22969208970307387
130,25,0.03958840140127432
130,26,0.06996507107590007
130,27,0.07019409913912897
130,28,0.09741927404108437
130,29,0.10468126498975808
130,30,0.04187439311852159
130,31,0.08038027236326081
130,32,0.11409543350637676
130,33,0.02379575843458032
130,34,0.1449447416186022
130,35,0.15031446325086037
130,36,0.06274682706065213
131,32,0.33015371861030235
131,33,0.0688569024446546
131,34,0.41942121579928465
131,36,0.1815681631457584
132,25,0.06049412976772047
132,26,0.10691202319518375
132,27,0.1072619957347916
132,28,0.14886416215656487
132,29,0.15996104425514177
132,30,0.0639873013709224
132,31,0.12282725381660128
132,35,0.22969208970307387
133,25,0.03958840140127432
133,26,0.06996507107590007
133,27,0.07019409913912897
133,28,0.09741927404108437
133,29,0.10468126498975808
133,30,0.04187439311852159
133,31,0.08038027236326081
133,32,0.11409543350637676
133,33,0.02379575843458032
133,34,0.1449447416186022
133,35,0.15031446325086037
133,36,0.06274682706065213
134,32,0.33015371861030235
134,33,0.0688569024446546
134,34,0.41942121579928465
134,36,0.1815681631457584
135,25,0.06049412976772047
135,26,0.10691202319518375
135,27,0.1072619957347916
135,28,0.14886416215656487
135,29,0.15996104425514177
135,30,0.0639873013709224
135,31,0.12282725381660128
135,35,0.22969208970307387
136,25,0.03958840140127432
136,26,0.06996507107590007
136,27,0.07019409913912897
136,28,0.09741927404108437
136,29,0.10468126498975808
136,30,0.04187439311852159
136,31,0.08038027236326081
136,32,0.11409543350637676
136,33,0.02379575843458032
136,34,0.1449447416186022
136,35,0.15031446325086037
136,36,0.06274682706065213
137,32,0.33015371861030235
137,33,0.0688569024446546
137,34,0.41942121579928465
137,36,0.1815681631457584
138,25,0.06049412976772047
138,26,0.10691202319518375
138,27,0.1072619957347916
138,28,0.14886416215656487
138,29,0.15996104425514177
138,30,0.0639873013709224
138,31,0.12282725381660128
138,35,0.22969208970307387
139,25,0.03958840140127432
139,26,0.06996507107590007
139,27,0.07019409913912897
139,28,0.09741927404108437
139,29,0.10468126498975808
139,30,0.04187439311852159
139,31,0.08038027236326081
139,32,0.11409543350637676
139,33,0.02379575843458032
139,34,0.1449447416186022
139,35,0.15031446325086037
139,36,0.06274682706065213
