naics6_code,naics >>
111110,1
111120,2
111130,3
111140,4
111150,5
111160,6
111191,7
111199,8
111211,9
111219,10
111310,11
111320,12
111331,13
111332,14
111333,15
111334,16
111335,17
111336,18
111339,19
111411,20
111419,21
111421,22
111422,23
111910,24
111920,25
111930,26
111940,27
111991,28
111992,29
111998,30
112111,31
112112,32
112120,33
112130,34
112210,35
112310,36
112320,37
112330,38
112340,39
112390,40
112410,41
112420,42
112511,43
112512,44
112519,45
112910,46
112920,47
112930,48
112990,49
113110,50
113210,51
113310,52
114111,53
114112,54
114119,55
114210,56
115111,57
115112,58
115113,59
115114,60
115115,61
115116,62
115210,63
115310,64
211111,65
211112,66
211120,67
211130,68
212111,69
212112,70
212113,71
212210,72
212221,73
212222,74
212230,75
212231,76
212234,77
212291,78
212299,79
212311,80
212312,81
212313,82
212319,83
212321,84
212322,85
212324,86
212325,87
212391,88
212392,89
212393,90
212399,91
213111,92
213112,93
213113,94
213114,95
213115,96
221111,97
221112,98
221113,99
221114,100
221115,101
221116,102
221117,103
221118,104
221119,105
221121,106
221122,107
221210,108
221310,109
221320,110
221330,111
236115,112
236116,113
236117,114
236118,115
236210,116
236220,117
237110,118
237120,119
237130,120
237210,121
237310,122
237990,123
238110,124
238111,125
238112,126
238120,127
238121,128
238122,129
238130,130
238131,131
238132,132
238140,133
238141,134
238142,135
238150,136
238151,137
238152,138
238160,139
238161,140
238162,141
238170,142
238171,143
238172,144
238190,145
238191,146
238192,147
238210,148
238211,149
238212,150
238220,151
238221,152
238222,153
238290,154
238291,155
238292,156
238310,157
238311,158
238312,159
238320,160
238321,161
238322,162
238330,163
238331,164
238332,165
238340,166
238341,167
238342,168
238350,169
238351,170
238352,171
238390,172
238391,173
238392,174
238910,175
238911,176
238912,177
238990,178
238991,179
238992,180
311111,181
311119,182
311211,183
311212,184
311213,185
311221,186
311222,187
311223,188
311224,189
311225,190
311230,191
311311,192
311312,193
311313,194
311314,195
311320,196
311330,197
311340,198
311351,199
311352,200
311411,201
311412,202
311421,203
311422,204
311423,205
311511,206
311512,207
311513,208
311514,209
311520,210
311611,211
311612,212
311613,213
311615,214
311710,215
311711,216
311712,217
311811,218
311812,219
311813,220
311821,221
311822,222
311823,223
311824,224
311830,225
311911,226
311919,227
311920,228
311930,229
311941,230
311942,231
311991,232
311999,233
312111,234
312112,235
312113,236
312120,237
312130,238
312140,239
312210,240
312221,241
312229,242
312230,243
313110,244
313111,245
313112,246
313113,247
313210,248
313220,249
313221,250
313222,251
313230,252
313240,253
313241,254
313249,255
313310,256
313311,257
313312,258
313320,259
314110,260
314120,261
314121,262
314129,263
314910,264
314911,265
314912,266
314991,267
314992,268
314994,269
314999,270
315110,271
315111,272
315119,273
315190,274
315191,275
315192,276
315210,277
315211,278
315212,279
315220,280
315221,281
315222,282
315223,283
315224,284
315225,285
315228,286
315231,287
315232,288
315233,289
315234,290
315239,291
315240,292
315280,293
315291,294
315292,295
315299,296
315990,297
315991,298
315992,299
315993,300
315999,301
316110,302
316210,303
316211,304
316212,305
316213,306
316214,307
316219,308
316991,309
316992,310
316993,311
316998,312
316999,313
321113,314
321114,315
321211,316
321212,317
321213,318
321214,319
321219,320
321911,321
321912,322
321918,323
321920,324
321991,325
321992,326
321999,327
322110,328
322121,329
322122,330
322130,331
322211,332
322212,333
322213,334
322214,335
322215,336
322219,337
322220,338
322221,339
322222,340
322223,341
322224,342
322225,343
322226,344
322230,345
322231,346
322232,347
322233,348
322291,349
322299,350
323110,351
323111,352
323112,353
323113,354
323114,355
323115,356
323116,357
323117,358
323118,359
323119,360
323120,361
323121,362
323122,363
324110,364
324121,365
324122,366
324191,367
324199,368
325110,369
325120,370
325130,371
325131,372
325132,373
325180,374
325181,375
325182,376
325188,377
325191,378
325192,379
325193,380
325194,381
325199,382
325211,383
325212,384
325220,385
325221,386
325222,387
325311,388
325312,389
325314,390
325320,391
325411,392
325412,393
325413,394
325414,395
325510,396
325520,397
325611,398
325612,399
325613,400
325620,401
325910,402
325920,403
325991,404
325992,405
325998,406
326111,407
326112,408
326113,409
326121,410
326122,411
326130,412
326140,413
326150,414
326160,415
326191,416
326192,417
326199,418
326211,419
326212,420
326220,421
326291,422
326299,423
327110,424
327111,425
327112,426
327113,427
327120,428
327121,429
327122,430
327123,431
327124,432
327125,433
327211,434
327212,435
327213,436
327215,437
327310,438
327320,439
327331,440
327332,441
327390,442
327410,443
327420,444
327910,445
327991,446
327992,447
327993,448
327999,449
331110,450
331111,451
331112,452
331210,453
331221,454
331222,455
331311,456
331312,457
331313,458
331314,459
331315,460
331316,461
331318,462
331319,463
331410,464
331411,465
331419,466
331420,467
331421,468
331422,469
331423,470
331491,471
331492,472
331511,473
331512,474
331513,475
331521,476
331522,477
331523,478
331524,479
331525,480
331528,481
331529,482
332111,483
332112,484
332114,485
332115,486
332116,487
332117,488
332119,489
332211,490
332212,491
332213,492
332214,493
332215,494
332216,495
332311,496
332312,497
332313,498
332321,499
332322,500
332323,501
332410,502
332420,503
332431,504
332439,505
332510,506
332611,507
332612,508
332613,509
332618,510
332710,511
332721,512
332722,513
332811,514
332812,515
332813,516
332911,517
332912,518
332913,519
332919,520
332991,521
332992,522
332993,523
332994,524
332995,525
332996,526
332997,527
332998,528
332999,529
333111,530
333112,531
333120,532
333131,533
333132,534
333210,535
333220,536
333241,537
333242,538
333243,539
333244,540
333249,541
333291,542
333292,543
333293,544
333294,545
333295,546
333298,547
333311,548
333312,549
333313,550
333314,551
333315,552
333316,553
333318,554
333319,555
333411,556
333412,557
333413,558
333414,559
333415,560
333511,561
333512,562
333513,563
333514,564
333515,565
333516,566
333517,567
333518,568
333519,569
333611,570
333612,571
333613,572
333618,573
333911,574
333912,575
333913,576
333914,577
333921,578
333922,579
333923,580
333924,581
333991,582
333992,583
333993,584
333994,585
333995,586
333996,587
333997,588
333999,589
334111,590
334112,591
334113,592
334118,593
334119,594
334210,595
334220,596
334290,597
334310,598
334411,599
334412,600
334413,601
334414,602
334415,603
334416,604
334417,605
334418,606
334419,607
334510,608
334511,609
334512,610
334513,611
334514,612
334515,613
334516,614
334517,615
334518,616
334519,617
334611,618
334612,619
334613,620
334614,621
335110,622
335121,623
335122,624
335129,625
335210,626
335211,627
335212,628
335220,629
335221,630
335222,631
335224,632
335228,633
335311,634
335312,635
335313,636
335314,637
335911,638
335912,639
335921,640
335929,641
335931,642
335932,643
335991,644
335999,645
336111,646
336112,647
336120,648
336211,649
336212,650
336213,651
336214,652
336310,653
336311,654
336312,655
336320,656
336321,657
336322,658
336330,659
336340,660
336350,661
336360,662
336370,663
336390,664
336391,665
336399,666
336411,667
336412,668
336413,669
336414,670
336415,671
336419,672
336510,673
336611,674
336612,675
336991,676
336992,677
336999,678
337110,679
337121,680
337122,681
337124,682
337125,683
337127,684
337129,685
337211,686
337212,687
337214,688
337215,689
337910,690
337920,691
339111,692
339112,693
339113,694
339114,695
339115,696
339116,697
339910,698
339911,699
339912,700
339913,701
339914,702
339920,703
339930,704
339931,705
339932,706
339940,707
339941,708
339942,709
339943,710
339944,711
339950,712
339991,713
339992,714
339993,715
339994,716
339995,717
339999,718
423110,719
423120,720
423130,721
423140,722
423210,723
423220,724
423310,725
423320,726
423330,727
423390,728
423410,729
423420,730
423430,731
423440,732
423450,733
423460,734
423490,735
423510,736
423520,737
423610,738
423620,739
423690,740
423710,741
423720,742
423730,743
423740,744
423810,745
423820,746
423830,747
423840,748
423850,749
423860,750
423910,751
423920,752
423930,753
423940,754
423990,755
424110,756
424120,757
424130,758
424210,759
424310,760
424320,761
424330,762
424340,763
424410,764
424420,765
424430,766
424440,767
424450,768
424460,769
424470,770
424480,771
424490,772
424510,773
424520,774
424590,775
424610,776
424690,777
424710,778
424720,779
424810,780
424820,781
424910,782
424920,783
424930,784
424940,785
424950,786
424990,787
425110,788
425120,789
441110,790
441120,791
441210,792
441221,793
441222,794
441228,795
441229,796
441310,797
441320,798
