Num,Name,National Employment,Out/Emp,Color
1111A0,Oilseed farming,"566,570",0.07478864,yellow
1111B0,Grain farming,"99,577",0.844110588,yellow
111200,Vegetable and melon farming,"375,640",0.038270685,yellow
111300,Fruit and tree nut farming,"450,615",0.058784106,yellow
111400,"Greenhouse, nursery, and floriculture production","854,785",0.025979632,yellow
111900,Other crop farming,"148,451",0.186202855,yellow
112120,Dairy cattle and milk production,"485,376",0.078316604,yellow
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming","397,397",0.196707575,yellow
112300,Poultry and egg production,"126,277",0.306809633,yellow
112A00,"Animal production, except cattle and poultry and eggs","561,052",0.058131867,yellow
113000,Forestry and logging,"181,223",0.091053564,yellow
114000,"Fishing, hunting and trapping","563,276",0.014852399,yellow
115000,Support activities for agriculture and forestry,"120,560",0.190867618,yellow
211000,Oil and gas extraction,"636,165",0.492312529,yellow
212100,Coal mining,"884,656",0.049858928,yellow
212230,"Copper, nickel, lead, and zinc mining","532,041",0.024099646,yellow
2122A0,"Iron, gold, silver, and other metal ore mining","183,419",0.10882733,yellow
212310,Stone mining and quarrying,"740,326",0.017100575,yellow
2123A0,Other nonmetallic mineral mining and quarrying,"215,540",0.068906004,yellow
213111,Drilling oil and gas wells,"160,188",0.294653782,yellow
21311A,Other support activities for mining,"307,795",0.417761822,yellow
221100,"Electric power generation, transmission, and distribution","583,662",0.622195723,yellow
221200,Natural gas distribution,"163,693",0.488249345,yellow
221300,"Water, sewage and other systems","501,855",0.027049646,yellow
233210,Health care structures,"737,125",0.062610819,yellow
233262,Educational and vocational structures,"673,138",0.12117129,yellow
230301,Nonresidential maintenance and repair,"370,867",0.47250362,yellow
230302,Residential maintenance and repair,"612,230",0.119481241,yellow
2332A0,Office and commercial structures,"201,887",0.405335658,yellow
233412,Multifamily residential structures,"109,239",0.253947766,yellow
2334A0,Other residential structures,"579,708",0.291484678,yellow
233230,Manufacturing structures,"506,650",0.096352512,yellow
2332D0,Other nonresidential structures,"353,568",0.265032469,yellow
233240,Power and communication structures,"394,541",0.287856015,yellow
233411,Single-family residential structures,"154,036",0.863512426,yellow
2332C0,Transportation structures and highways and streets,"793,687",0.153759605,yellow
321100,Sawmills and wood preservation,"67,559",0.344350864,yellow
321200,"Veneer, plywood, and engineered wood product manufacturing","726,495",0.023357353,yellow
321910,Millwork,"889,788",0.022364878,yellow
3219A0,All other wood product manufacturing,"592,257",0.031597769,yellow
327100,Clay product and refractory manufacturing,"737,480",0.009326355,yellow
327200,Glass and glass product manufacturing,"280,251",0.082336905,yellow
327310,Cement manufacturing,"16,090",0.355935364,yellow
327320,Ready-mix concrete manufacturing,"380,910",0.053091281,yellow
327330,"Concrete pipe, brick, and block manufacturing","277,200",0.019256854,yellow
327390,Other concrete product manufacturing,"261,356",0.032120938,yellow
327400,Lime and gypsum product manufacturing,"553,748",0.010558955,yellow
327910,Abrasive product manufacturing,"343,347",0.014778053,yellow
327991,Cut stone and stone product manufacturing,"439,825",0.007937248,yellow
327992,Ground or treated mineral and earth manufacturing,"570,583",0.006060468,yellow
327993,Mineral wool manufacturing,"755,672",0.006317556,yellow
327999,Miscellaneous nonmetallic mineral products,"371,634",0.01070408,yellow
331110,Iron and steel mills and ferroalloy manufacturing,"210,578",0.533863936,yellow
331200,Steel product manufacturing from purchased steel,"77,155",0.331009008,yellow
331314,Secondary smelting and alloying of aluminum,"313,700",0.018262671,yellow
331313,Alumina refining and primary aluminum production,"471,846",0.013720578,yellow
33131B,Aluminum product manufacturing from purchased aluminum,"128,344",0.196253818,yellow
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,"76,972",0.190017149,yellow
331420,"Copper rolling, drawing, extruding and alloying","141,327",0.164250285,yellow
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying","755,348",0.029971616,yellow
331510,Ferrous metal foundries,"892,348",0.020905521,yellow
331520,Nonferrous metal foundries,"402,667",0.031557093,yellow
332114,Custom roll forming,"557,901",0.014864644,yellow
33211A,"All other forging, stamping, and sintering","515,658",0.027586113,yellow
332119,"Metal crown, closure, and other metal stamping (except automotive)","42,836",0.275119059,yellow
332200,Cutlery and handtool manufacturing,"313,860",0.029134009,yellow
332310,Plate work and fabricated structural product manufacturing,"10,342",3.740572423,yellow
332320,Ornamental and architectural metal products manufacturing,"169,377",0.207371721,yellow
332410,Power boiler and heat exchanger manufacturing,"475,207",0.014505258,yellow
332420,Metal tank (heavy gauge) manufacturing,"407,633",0.022738591,yellow
